id,name,url,level,cost,budget_places,paid_places,foreign_places,number_of_program
1,Дизайн и разработка информационных продуктов,https://www.hse.ru/ba/drip/,Бакалавр,780000,,70,,09.03.04
2,Компьютерные науки и анализ данных,https://www.hse.ru/ba/compds/,Бакалавр,550000,,150,10,01.03.02
3,Прикладная математика и информатика,https://www.hse.ru/ba/ami/,Бакалавр,850000,180,220,10,01.03.02
4,Прикладной анализ данных,https://www.hse.ru/ba/data/,Бакалавр,850000,,220,10,01.03.02
5,Программная инженерия,https://www.hse.ru/ba/se/,Бакалавр,800000,160,125,10,09.03.04
6,Разработка игр и цифровых продуктов,https://digital.hse.ru,Бакалавр,850000,,100,,09.03.04
7,Экономика и анализ данных,https://www.hse.ru/ba/eda,Бакалавр,790000,45,130,5,38.03.01
8,Анализ данных в биологии и медицине,https://www.hse.ru/ma/adbm,Магистр,,25,10,,
9,Анализ данных в девелопменте,https://www.hse.ru/ma/development/,Магистр,,,35,,
10,Аналитика больших данных (полностью онлайн),https://www.hse.ru/ma/bigdata-analytics/,Магистр,490000.0,,200,5,01.04.02
11,Инженерия данных (полностью онлайн),https://www.hse.ru/ma/data-engineering/,Магистр,470000.0,,150,5,09.04.04
12,"Искусственный интеллект (ранее - Машинное обучение и высоконагруженные системы, полностью онлайн)",https://www.hse.ru/ma/mlds/,Магистр,520000.0,,350,5,01.04.02
13,Искусственный интеллект в маркетинге и управлении продуктом (полностью онлайн),https://www.hse.ru/ma/ai-productmanagement/,Магистр,520000.0,,160,5,01.04.02
14,Исследования и предпринимательство в искусственном интеллекте,https://www.hse.ru/ma/ipii/,Магистр,,,40,,
15,Магистр по наукам о данных (полностью онлайн),https://www.hse.ru/ma/mds/,Магистр,490000.0,,200,20,01.04.02
16,Математика машинного обучения,https://www.hse.ru/ma/sltheory/,Магистр,490000.0,20,5,1,01.04.02
17,Машинное обучение в цифровом продукте,https://www.hse.ru/ma/mldg,Магистр,,,35,,
18,Науки о данных (Data Science),https://www.hse.ru/ma/datasci/,Магистр,490000.0,36,15,10,01.04.02
19,Продуктовый подход и аналитика данных в HR-менеджменте,https://www.hse.ru/ma/ppadhr/,Магистр,,,40,,
20,Системная и программная инженерия,https://www.hse.ru/ma/se/,Магистр,490000.0,25,10,5,09.04.04
21,Системное программирование,https://www.hse.ru/ma/sp/,Магистр,,15,5,,
22,Современные компьютерные науки,https://www.hse.ru/ma/mcs,Магистр,,52,5,,
23,Финансовые технологии,https://www.hse.ru/ma/alfafintech/,Магистр,490000.0,,,,01.04.02
24,Финансовые технологии и анализ данных,https://www.hse.ru/ma/fintech,Магистр,490000.0,,70,3,01.04.02
