id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
1,Подъемно-транспортные средства технологического оснащения судостроительного производства,26.05.01,425000.0,169.0,119.0,"Проектирование и постройка кораблей, судов и объектов океанотехники",Специалист по судостроению и остальные,24.0
2,Конструирование машин и аддитивные технологии в АПК,35.03.06,158712.0,192.0,113.0,Агроинженерия,"Инженер-конструктор, Агроинженер, Инженер-механик по сельскому хозяйству и остальные",15.0
3,Применение БПЛА в сельском хозяйстве,35.03.04,158712.0,151.0,126.0,Агрономия,"Агроном, Агроинформатик (агрокибернетик), Оператор беспилотных летательных аппаратов (БПЛА) и остальные",25.0
4,Обеспечение системных принципов фармацевтической деятельности в сфере обращения лекарствен..,33.05.01,176400.0,,125.0,Фармация,"Биофармаколог, Фармацевт и остальные",
5,Обработка данных и методы искусственного интеллекта,09.03.03,191000.0,230.0,119.0,Прикладная информатика,"Администратор баз данных, Аналитик данных, Intelligent Systems Developer (разработчик интеллектуальных систем) и остальные",25.0
6,Инженерная инноватика,27.03.05,223082.0,203.0,147.0,Инноватика,"Инженер-патентовед, Ментор стартапов, Инженер по рационализаторству и изобретательству и остальные",23.0
7,Агробиотехнологии производства продукции распределения,35.03.04,223090.0,166.0,118.0,Агрономия,Агроном и остальные,23.0
8,Агроэкологические технологии цифрового поля,35.03.03,223090.0,166.0,118.0,Агрохимия и агропочвоведение,"Агрохимик, Агроэколог, Почвовед и остальные",23.0
9,Инновационные агротехнологии,35.03.04,33000.0,120.0,120.0,Агрономия,,23.0
10,Физическая реабилитация,49.03.01,80000.0,,110.0,Физическая культура,"Спортивный тренер, Учитель физкультуры, Инструктор по физической культуре и остальные",
11,Технологии продуктов функционального и специализированного питания,19.03.04,164300.0,150.0,119.0,Технология продукции и организация общественного питания,"Ресторатор, Технолог общественного питания, Инженер пищевой промышленности и остальные",8.0
12,Управление качеством на высокотехнологичных производствах,27.03.02,,180.0,,Управление качеством,"Инженер по управлению качеством, Инженер-технолог по качеству, Менеджер по качеству и остальные",20.0
13,Проектирование и эксплуатация беспилотных летательных аппаратов,11.03.04,,189.0,,Электроника и наноэлектроника,"Инженер по наноэлектронике, Инженер электронной техники, Оператор беспилотных летательных аппаратов (БПЛА) и остальные",12.0
14,Комплексное обеспечение пожарной безопасности,20.03.01,80000.0,128.0,119.0,Техносферная безопасность,"Спасатель, Инженер по охране труда, Инженер по защите в чрезвычайных ситуациях и остальные",20.0
15,Дошкольное образование и Дополнительное образование (раннее физическое развитие),44.03.01,337000.0,,207.0,Педагогическое образование,"Воспитатель детского сада, Педагог, Учитель и остальные",25.0
16,Дошкольное образование и Дополнительное образование (музыка/изобразительное искусство),44.03.01,337000.0,,207.0,Педагогическое образование,,25.0
17,"Русский язык, Литература и История",44.03.01,337000.0,206.0,131.0,Педагогическое образование,"Историк, Педагог, Учитель и остальные",23.0
18,Русский язык как иностранный и Иностранный язык (английский),44.03.01,151000.0,201.0,124.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",43.0
19,Физика и Химия,44.03.01,337000.0,186.0,144.0,Педагогическое образование,"Педагог, Учитель, Преподаватель и остальные",23.0
20,Информатика и Труд (Технология),44.03.01,337000.0,186.0,144.0,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техники и остальные",23.0
21,Физика и Информатика,44.03.01,337000.0,186.0,144.0,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техники и остальные",23.0
22,Право и Иностранный язык (английский),44.03.01,193000.0,157.0,135.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",25.0
23,Обществознание и Экономико-правовое образование,44.03.01,337000.0,138.0,114.0,Педагогическое образование,"Педагог, Учитель, Преподаватель экономики и остальные",23.0
24,История и Воспитательная работа,44.03.01,337000.0,138.0,114.0,Педагогическое образование,"Историк, Педагог, Учитель и остальные",22.0
25,Математика и Компьютерные науки,44.03.01,337000.0,181.0,134.0,Педагогическое образование,"Педагог, Учитель, Учитель математики и информатики и остальные",29.0
26,Математика и Экономика,44.03.01,337000.0,181.0,134.0,Педагогическое образование,"Педагог, Учитель, Преподаватель экономики и остальные",28.0
27,История и Иностранный язык (английский),44.03.01,337000.0,138.0,114.0,Педагогическое образование,"Историк, Педагог, Учитель и остальные",32.0
28,История и Обществознание. Организация воспитательной деятельности,44.03.01,337000.0,192.0,135.0,Педагогическое образование,"Историк, Педагог, Учитель и остальные",32.0
29,Иностранный язык (китайский) и Русский язык как иностранный,44.03.01,337000.0,139.0,132.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",23.0
30,Иностранный язык (английский) и Иностранный язык (испанский/французский),44.03.01,337000.0,139.0,132.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",23.0
31,Иностранный язык (китайский) и Иностранный язык (английский),44.03.01,337000.0,139.0,132.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",22.0
32,Иностранный язык (английский) и Иностранный язык (итальянский/немецкий),44.03.01,337000.0,139.0,132.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",22.0
33,Изобразительное искусство и Дополнительное образование,44.03.01,337000.0,,207.0,Педагогическое образование,"Педагог, Учитель, Учитель ИЗО и остальные",30.0
34,Дополнительное образование (в области эстрадно-джазового искусства),44.03.01,,,,Педагогическое образование,"Педагог, Учитель, Личный тьютор по эстетическому развитию и остальные",25.0
35,Музыка и Дополнительное образование (в области музыкального искусства),44.03.01,337000.0,177.0,177.0,Педагогическое образование,"Педагог, Учитель, Личный тьютор по эстетическому развитию и остальные",25.0
36,Мировая художественная культура и Дополнительное образование (журналистика),44.03.01,337000.0,246.0,139.0,Педагогическое образование,"Педагог, Учитель, Журналист и остальные",25.0
37,Начальное образование и Информатика,44.03.01,337000.0,175.0,132.0,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техники и остальные",23.0
38,Начальное образование и История,44.03.01,337000.0,175.0,132.0,Педагогическое образование,"Историк, Педагог, Учитель и остальные",23.0
39,Начальное образование и Иностранный язык (английский),44.03.01,337000.0,175.0,132.0,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистики и остальные",23.0
40,Биология и Иностранный язык (английский),44.03.01,337000.0,208.0,134.0,Педагогическое образование,"Педагог, Учитель, Учитель биологии и остальные",17.0
41,Биология и Безопасность жизнедеятельности,44.03.01,337000.0,208.0,134.0,Педагогическое образование,"Педагог, Учитель, Учитель биологии и остальные",17.0
42,География и Иностранный язык (английский/китайский),44.03.01,337000.0,189.0,129.0,Педагогическое образование,"Педагог, Географ, Учитель и остальные",20.0
43,Информационно-измерительные технологии в нефтегазовой отрасли,,,,,|,"Аналитик информационной безопасности, Инженер приборостроения, IT-специалист и остальные",
44,Дизайн и технология художественной обработки нетрадиционных материалов,29.03.04,173500.0,181.0,110.0,Технология художественной обработки материалов,"Модельер-конструктор меховых изделий, Дизайнер, Материаловед и остальные",15.0
45,Автоматика и программирование интеллектуальных систем управления,27.03.04,173500.0,148.0,119.0,Управление в технических системах,"Программист, Intelligent Systems Developer (разработчик интеллектуальных систем), IT-специалист и остальные",20.0
46,Управление техническим состоянием автотранспортных средств и специальной техники,23.03.03,173500.0,180.0,119.0,Эксплуатация транспортно-технологических машин и комплексов,Автомеханик и остальные,12.0
47,Цифровая транспортная логистика,23.03.01,173500.0,205.0,119.0,Технология транспортных процессов,"Инженер по организации перевозок и управлению на транспорте, Логист, Менеджер по работе с таможней и остальные",13.0
48,Производство цветных металлов,22.03.02,182700.0,170.0,119.0,Металлургия,"Инженер-металлург, Электролизник расплавленных солей, Специалист по металлургии цветных металлов и остальные",15.0
49,Управление промышленными роботами и манипуляторами,15.03.06,191000.0,199.0,119.0,Мехатроника и робототехника,"Инженер-мехатроник, Специалист по интегрированным интеллектуальным робототехническим комплексам и остальные",20.0
50,Перспективные двигатели,13.03.03,173500.0,177.0,119.0,Энергетическое машиностроение,"Инженер по энергетическому машиностроению, Инженер-конструктор двигателей внутреннего сгорания, Инженер-машиностроитель и остальные",15.0
