program_name,city,latitude,longitude
Музыка и дополнительное образование (театральное творчество),Тула,54.1930321,37.61754
Кадровый менеджмент (HR-менеджмент),Санкт-Петербург,59.9606739,30.1586551
Торговля непродовольственными товарами,Санкт-Петербург,59.9606739,30.1586551
Страхование,Санкт-Петербург,59.9606739,30.1586551
Реклама в креативных индустриях,Санкт-Петербург,59.9606739,30.1586551
Реклама в медиаиндустрии,Санкт-Петербург,59.9606739,30.1586551
Мехатронные системы вертикального транспорта,Санкт-Петербург,59.9606739,30.1586551
Связи с общественностью в сфере государственного и муниципального управления,Санкт-Петербург,59.9606739,30.1586551
Экономика и технология на предприятиях текстильной промышленности,Санкт-Петербург,59.9606739,30.1586551
Информационные технологии и программирование в автоматизации,Москва,55.625578,37.6063916
Роботизированные системы и искусственный интеллект,Москва,55.625578,37.6063916
Управление цифровыми платформами,Москва,55.625578,37.6063916
"Проектирование и интеграция информационных систем: архитектура, дизайн, DevOps",Москва,55.625578,37.6063916
Операционный менеджмент в индустрии гостеприимства,Москва,55.625578,37.6063916
Мировые рынки биотехнологий (сетевая программа с МГИМО МИД России),Москва,55.625578,37.6063916
Управление бизнесом в биоэкономике,Москва,55.625578,37.6063916
Безопасность технологических производств и экосистем,Москва,55.625578,37.6063916
Генная инженерия и моделирование биологических систем,Москва,55.625578,37.6063916
Ветеринария мелких домашних и экзотических животных,Москва,55.625578,37.6063916
Управление биологической безопасностью,Москва,55.625578,37.6063916
Дизайн и брендинг упаковочных решений,Москва,55.625578,37.6063916
Химия и биотехнология полимеров,Москва,55.625578,37.6063916
Биоэкономика: геномные технологии и биоинформатика,Москва,55.625578,37.6063916
"Технологии кондитерских изделий, шоколада и кофе",Москва,55.625578,37.6063916
Технологии продуктов длительного хранения,Москва,55.625578,37.6063916
Разработка программного обеспечения цифровых комплексов,Санкт-Петербург,59.9606739,30.1586551
Практическая и консультативная психология,Санкт-Петербург,59.9606739,30.1586551
Администрирование информационно-коммуникационных систем и сервисов,Санкт-Петербург,59.9606739,30.1586551
Прикладная математика и физика в биомедицине,Санкт-Петербург,59.9606739,30.1586551
Моделирование здоровья,Москва,55.625578,37.6063916
Управление коммуникациями,Калининград,54.710128,20.5105838
Малоэтажное строительство и ландшафтный дизайн,Братск,56.1517085,101.6334907
Художественный дизайн в культуре массовых коммуникаций,Челябинск,55.1598408,61.4025547
Физическая культура. Безопасность жизнедеятельности и основы применения БПЛА,Шуя,56.8558465,41.3838496
Технология. Дополнительное образование в сфере креативных индустрий,Шуя,56.8558465,41.3838496
Экономическое образование и предпринимательство,Шуя,56.8558465,41.3838496
Изобразительное искусство и медиадизайн,Шуя,56.8558465,41.3838496
Нейроанимация и цифровое кино,Москва,55.625578,37.6063916
