program_name,city,latitude,longitude
Государственное и общественное управление в сфере физической культуры и спорта,Казань,55.7946485,49.1115022
Религиозная философия,Москва,55.625578,37.6063916
Математическое и программное обеспечение цифровых радиотехнических систем и комплексов,Смоленск,54.7814057,32.0461261
Управление воспитательными системами и психология лидерства,Смоленск,54.7814057,32.0461261
Актерское мастерство,Москва,55.625578,37.6063916
Банковский менеджмент и управление рисками,Москва,55.625578,37.6063916
Инструментальные методы и модели в цифровой экономике,Москва,55.625578,37.6063916
Цифровое развитие государственного управления,Москва,55.625578,37.6063916
Технологическое предпринимательство и управление инновационным бизнесом,Москва,55.625578,37.6063916
Продюсирование игровых проектов,Москва,55.625578,37.6063916
Менеджмент в киберспорте и фиджитал-спорте,Москва,55.625578,37.6063916
Управление сестринской деятельностью,Москва,55.625578,37.6063916
Управление спортивной организацией,Москва,55.625578,37.6063916
Корпоративная логистика,Москва,55.625578,37.6063916
Логистическая аналитика,Москва,55.625578,37.6063916
"Коммуникационный менеджмент, PR и управление сообществами",Москва,55.625578,37.6063916
Авторская и коммерческая анимация,Москва,55.625578,37.6063916
Цифровое продюсирование и медиадистрибуция,Москва,55.625578,37.6063916
Креативные индустрии и управление проектами,Москва,55.625578,37.6063916
Нейродизайн интерфейсов и визуальных коммуникаций,Москва,55.625578,37.6063916
Биодизайн и природа материалов,Москва,55.625578,37.6063916
Продуктовый дизайн,Москва,55.625578,37.6063916
Интерактивный дизайн и медиаискусство,Москва,55.625578,37.6063916
"Управление цифровыми проектами, продуктами и инновациями",Москва,55.625578,37.6063916
Цифровая экономика и искусственный интеллект,Москва,55.625578,37.6063916
Экономика и организация высокотехнологичных производств,Тюмень,57.153534,65.542274
Междисциплинарный подход в преподавании русского как иностранного: язык для специальных це..,Москва,55.625578,37.6063916
ART-менеджмент и продюсирование,Москва,55.625578,37.6063916
Экранные технологии и управление медиабизнесом,Москва,55.625578,37.6063916
"Устойчивые проекты онлайн-образования: ИИ-технологии, финансы, управление",Москва,55.625578,37.6063916
Цифровая трансформация бизнеса: экономика и информационные технологии,Москва,55.625578,37.6063916
Инновационные методы конструирования и технологии изделий из кожи,Москва,55.625578,37.6063916
Цифровые технологии в художественной обработке материалов и ювелирном искусстве,Москва,55.625578,37.6063916
Управление качеством изделий текстильной и легкой промышленности,Москва,55.625578,37.6063916
Инновационные методы технологии и конструирования изделий из кожи,Москва,55.625578,37.6063916
Сертификация и экспертиза изделий текстильной и легкой промышленности,Москва,55.625578,37.6063916
Интеллектуальные технологии в системах автоматизации и робототехнике,Москва,55.625578,37.6063916
Цифровая трансформация бизнеса: информационные технологии и экономика,Москва,55.625578,37.6063916
"Устойчивые продукты онлайн-образования: ИИ-технологии, финансы, управление",Москва,55.625578,37.6063916
Дизайн систем управления на основе искусственного интеллекта,Москва,55.625578,37.6063916
Судебная защита прав и законных интересов,Тверь,56.858675,35.9208284
Правовые основы государственного и муниципального управления,Тверь,56.858675,35.9208284
Русский язык в поликультурном пространстве,Тамбов,52.7216164,41.4523988
Магистр прикладной юриспруденции,Тамбов,52.7216164,41.4523988
Экологический инжиниринг и менеджмент,Тамбов,52.7216164,41.4523988
Профориентология и профессиональная ориентация,Москва,55.625578,37.6063916
Руководство образовательной деятельностью,Москва,55.625578,37.6063916
Управление в воспитании и дополнительном образовании,Москва,55.625578,37.6063916
Безопасность образовательных организаций,Москва,55.625578,37.6063916
Географическое образование и этнографический туризм,Москва,55.625578,37.6063916
Биоинформатика и анализ больших данных в экологическом мониторинге,Москва,55.625578,37.6063916
Нейродефектология в системе образования лиц с ограниченными возможностями здоровья,Москва,55.625578,37.6063916
Проектирование и экспертиза образовательных систем,Москва,55.625578,37.6063916
Социальная психология личности: консультирование и психотерапия,Москва,55.625578,37.6063916
Психология организаций и бизнеса,Москва,55.625578,37.6063916
Криминалистика и уголовное судопроизводство,Москва,55.625578,37.6063916
Цифровые инновации в области физико-математического образования,Москва,55.625578,37.6063916
Организация инновационных систем управления и производства,Москва,55.625578,37.6063916
Цифровой инжиниринг и интеллектуальные технологические комплексы,Москва,55.625578,37.6063916
Управление воспитательной деятельностью в образовательной организации,Астрахань,46.3498308,48.0326203
Цифровые технологии в прикладной геофизике / digital technologies in applied geophysics,Иркутск,52.2891225,104.279829
Геоэкологические исследования и инжиниринг / Environmental sciences and Engineering,Иркутск,52.2891225,104.279829
Проектный инжиниринг в нефтегазохимической отрасли,Иркутск,52.2891225,104.279829
Проектирование технологических процессов и оборудования нефтегазохимических производств,Иркутск,52.2891225,104.279829
Финансовые технологии в государственном секторе,Ростов-на-Дону,47.2222596,39.7198736
"Налогообложение, внутренний контроль и правовое обеспечение бизнеса",Ростов-на-Дону,47.2222596,39.7198736
"Администрирование экономики города и региона, Telegram",Ростов-на-Дону,47.2222596,39.7198736
Филологическое образование в поликультурном пространстве (русский язык как иностранный),Владимир,56.1288899,40.4075203
Коммуникационный консалтинг,Владимир,56.1288899,40.4075203
Журналистика в условиях современных социокультурных медиапрактик,Владимир,56.1288899,40.4075203
Социология социальных процессов и изменений,Владимир,56.1288899,40.4075203
Технологические системы атомных станций,Воронеж,51.6605982,39.2005858
Расчет и проектирование транспортных сооружений,Воронеж,51.6605982,39.2005858
Digital Linguistic Educational Content Design (Проектирование цифрового лингвистического о..,Иркутск,52.2891225,104.279829
Русско-китайский перевод и межкультурная коммуникация,Иркутск,52.2891225,104.279829
Аналитика и экспертиза в управлении,Иркутск,52.2891225,104.279829
Медицинская и прикладная зоология,Махачкала,42.9830241,47.5048717
Прикладная информатика в инженерно-физических исследованиях,Махачкала,42.9830241,47.5048717
Арктическое право. Экологическое право. Право недропользования.,Якутск,62.0274078,129.7319787
Экономика замкнутого цикла северных территорий,Якутск,62.0274078,129.7319787
Образование лиц с интеллектуальными нарушениями,Якутск,62.0274078,129.7319787
Психологопедагогическое сопровождение (тьюторство) семьи,Якутск,62.0274078,129.7319787
Фундаментальная и компьютерная лингвистика тюркских и монгольских языков,Якутск,62.0274078,129.7319787
Математические основы искусственного интеллекта и математического моделирования,Якутск,62.0274078,129.7319787
Управление бизнесом в пищевой отрасли,Казань,55.7946485,49.1115022
Технологии глубокой переработки возобновляемых и вторичных ресурсов,Казань,55.7946485,49.1115022
"Медико-биологические аппараты, системы и комплексы",Казань,55.7946485,49.1115022
