id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
1,Музыка и дополнительное образование (театральное творчество),44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Педагог дополнительного образованияи остальные",,12.0,,124.0,10.0,https://vuzopedia.ru/program/bakispec/13302
2,Кадровый менеджмент (HR-менеджмент),44.03.04,Профессиональное обучение (по отраслям),"Педагог, Специалист по кадрам, Преподавательи остальные",,,,120.0,50.0,https://vuzopedia.ru/program/bakispec/13290
3,Торговля непродовольственными товарами,44.03.04,Профессиональное обучение (по отраслям),"Торговый агент, Педагог, Преподавательи остальные",,,,125.0,50.0,https://vuzopedia.ru/program/bakispec/13286
4,Страхование,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист страхового делаи остальные",,,,125.0,50.0,https://vuzopedia.ru/program/bakispec/13282
5,Реклама в креативных индустриях,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист по рекламеи остальные",,,,125.0,300.0,https://vuzopedia.ru/program/bakispec/13278
6,Реклама в медиаиндустрии,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель, Специалист по рекламеи остальные",,,,125.0,240.0,https://vuzopedia.ru/program/bakispec/13274
7,Мехатронные системы вертикального транспорта,15.03.02,Технологические машины и оборудование,"Инженер, Инженер-мехатроник, Техник-мехатроники остальные",,40.0,,121.0,100.0,https://vuzopedia.ru/program/bakispec/13270
8,Связи с общественностью в сфере государственного и муниципального управления,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Преподаватель государственного и муниципального управления, Преподавательи остальные",,,,125.0,100.0,https://vuzopedia.ru/program/bakispec/13266
9,Экономика и технология на предприятиях текстильной промышленности,29.03.02,Технология и проектирование текстильных изделий,"Контролер качества текстильных изделий, Технолог текстильного производства, Менеджер по качествуи остальные",,5.0,,120.0,50.0,https://vuzopedia.ru/program/bakispec/13265
10,Информационные технологии и программирование в автоматизации,27.03.04,Управление в технических системах,"Программист, Инженер по автоматизации и механизации, Техник-программисти остальные",400000.0,25.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/13261
11,Роботизированные системы и искусственный интеллект,27.03.04,Управление в технических системах,"Инженер, Инженер по автоматизации и механизации, Робототехники остальные",400000.0,25.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/13257
12,Управление цифровыми платформами,09.03.03,Прикладная информатика,"Аналитик данных, Менеджер проекта, Системный архитектор, архитектор программного обеспеченияи остальные",400000.0,231.0,25.0,138.0,5.0,https://vuzopedia.ru/program/bakispec/13253
13,"Проектирование и интеграция информационных систем: архитектура, дизайн, DevOps",09.03.01,Информатика и вычислительная техника,"Информатик (специалист по информационным технологиям), Intelligent Systems Developer (разработчик интеллектуальных систем), Системный архитектор, архитектор программного обеспеченияи остальные",400000.0,233.0,42.0,198.0,2.0,https://vuzopedia.ru/program/bakispec/13249
14,Операционный менеджмент в индустрии гостеприимства,19.03.04,Технология продукции и организация общественного питания,"Администратор, Менеджер, Руководительи остальные",550000.0,40.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/13245
15,Мировые рынки биотехнологий (сетевая программа с МГИМО МИД России),38.03.02,Менеджмент,"Менеджер, Менеджер проекта, Руководительи остальные",650000.0,,,120.0,20.0,https://vuzopedia.ru/program/bakispec/13241
16,Управление бизнесом в биоэкономике,38.03.02,Менеджмент,"Менеджер, Предпринимательи остальные",,8.0,,,,https://vuzopedia.ru/program/bakispec/13237
17,Безопасность технологических производств и экосистем,20.03.01,Техносферная безопасность,"Специалист по техносферной безопасности, Специалист по безопасности, Экологи остальные",380000.0,186.0,29.0,168.0,3.0,https://vuzopedia.ru/program/bakispec/13235
18,Генная инженерия и моделирование биологических систем,06.05.01,Биоинженерия и биоинформатика,"Биоинженер, Биолог, Генный инженери остальные",450000.0,,,120.0,25.0,https://vuzopedia.ru/program/bakispec/13231
19,Ветеринария мелких домашних и экзотических животных,36.05.01,Ветеринария,"Ветеринар, Ветеринарный врач (ветеринар), Ветеринарный фельдшери остальные",190000.0,213.0,40.0,130.0,30.0,https://vuzopedia.ru/program/bakispec/13227
20,Управление биологической безопасностью,36.03.01,Ветеринарно-санитарная экспертиза,"Ветеринарно-санитарный врач, Санитар ветеринарный, Специалист по безопасностии остальные",400000.0,190.0,45.0,157.0,8.0,https://vuzopedia.ru/program/bakispec/13223
21,Дизайн и брендинг упаковочных решений,29.03.03,Технология полиграфического и упаковочного производства,"Бренд-дизайнер, Дизайнер упаковки, Дизайнери остальные",180000.0,41.0,,120.0,44.0,https://vuzopedia.ru/program/bakispec/13219
22,Химия и биотехнология полимеров,18.03.01,Химическая технология,"Биотехнолог, Химик, Специалист по химии полимерных соединений, химик-полимерщики остальные",390000.0,218.0,39.0,149.0,3.0,https://vuzopedia.ru/program/bakispec/13215
23,Биоэкономика: геномные технологии и биоинформатика,19.03.01,Биотехнология,"Биотехнолог, Биоинформатик, Биологи остальные",430000.0,254.0,38.0,137.0,10.0,https://vuzopedia.ru/program/bakispec/13211
