id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
1,Государственное и общественное управление в сфере физической культуры и спорта,49.04.01,Физическая культура,"Государственный служащий, Специалист государственного и муниципального управления, Руководительи остальные",58900.0,21.0,,40.0,20.0,https://vuzopedia.ru/program/magistratura/13451
2,Религиозная философия,47.04.01,Философия,"Религиовед, Философ, Философ, научный сотрудники остальные",175000.0,,,60.0,20.0,https://vuzopedia.ru/program/magistratura/13447
3,Математическое и программное обеспечение цифровых радиотехнических систем и комплексов,01.04.02,Прикладная математика и информатика,"Программист, Инженер по сопровождению программного обеспечения, Инженер-разработчик аппаратного обеспеченияи остальные",143200.0,,,30.0,20.0,https://vuzopedia.ru/program/magistratura/13443
4,Управление воспитательными системами и психология лидерства,44.04.02,Психолого-педагогическое образование,"Психолог, Педагог-психолог, Директор по воспитательной работеи остальные",172000.0,14.0,,30.0,16.0,https://vuzopedia.ru/program/magistratura/13439
5,Актерское мастерство,52.04.01,Хореографическое искусство,"Актер, Актёр драматического театра, Актер музыкального театраи остальные",220000.0,,,55.0,30.0,https://vuzopedia.ru/program/magistratura/13436
6,Банковский менеджмент и управление рисками,38.04.08,Финансы и кредит,"Банковский служащий, Финансовый менеджер, Специалист банковского делаи остальные",210000.0,,,55.0,60.0,https://vuzopedia.ru/program/magistratura/13432
7,Инструментальные методы и модели в цифровой экономике,38.04.01,Экономика,"Бухгалтер-экономист, Инженер-экономист, Экономист-кибернетики остальные",210000.0,,,55.0,60.0,https://vuzopedia.ru/program/magistratura/13428
8,Цифровое развитие государственного управления,38.04.04,Государственное и муниципальное управление,"Государственный служащий, Информатик (специалист по информационным технологиям), Специалист государственного и муниципального управленияи остальные",210000.0,,,55.0,250.0,https://vuzopedia.ru/program/magistratura/13424
9,Технологическое предпринимательство и управление инновационным бизнесом,38.04.02,Менеджмент,"Инновационный менеджер, Предприниматель, Эксперт в области науки, технологий и инновацийи остальные",210000.0,,,55.0,50.0,https://vuzopedia.ru/program/magistratura/13420
10,Продюсирование игровых проектов,38.04.02,Менеджмент,"Спортивный тренер, Менеджер киберспорта, Продюсери остальные",210000.0,,,55.0,60.0,https://vuzopedia.ru/program/magistratura/13416
11,Менеджмент в киберспорте и фиджитал-спорте,38.04.02,Менеджмент,"Менеджер киберспорта, Менеджер, Тренинг-менеджери остальные",210000.0,,,55.0,60.0,https://vuzopedia.ru/program/magistratura/13412
